name,hex,brand
Perler White,#FFFFFF,perler
Perler Cream,#F3E7D3,perler
Perler Light Gray,#CFCFD2,perler
Perler Dark Gray,#6B7280,perler
Perler Black,#111111,perler
Perler Red,#E11D48,perler
Perler Orange,#F97316,perler
Perler Yellow,#F59E0B,perler
Perler Light Green,#86EFAC,perler
Perler Green,#22C55E,perler
Perler Dark Green,#166534,perler
Perler Light Blue,#93C5FD,perler
Perler Blue,#2563EB,perler
Perler Dark Blue,#1E3A8A,perler
Perler Purple,#7C3AED,perler
Perler Pink,#FF5A8A,perler
Perler Brown,#8B5E34,perler
Perler Tan,#D6B08C,perler

